NEZG_ID,VREME_NEZ,GPS_X,GPS_Y,VRSTA_NEZ,NAZIV_TIP,NAZIV_DET,_COL8,_COL9,WGS_X,WGS_Y
1054561,"23.02.2015,23:25",7458571,4964261,Sa mat.stetom,,,,,20.47067643930,44.82169242760
1055194,"27.02.2015,19:30",7458232,4964182,Sa mat.stetom,,,,,20.46639651680,44.82096164430
1055195,"27.02.2015,20:45",7458974,4962434,Sa mat.stetom,,,,,20.47592034530,44.80527436710
1055236,"24.02.2015,15:55",7451792,4967310,Sa mat.stetom,,,,,20.38467026440,44.84870276390
1055245,"25.02.2015,18:00",7450482,4953472,Sa mat.stetom,,,,,20.36945036370,44.72408411280
1055291,"01.03.2015,00:10",7459322,4959353,Sa mat.stetom,,,,,20.48056689820,44.77756785550
1055332,"01.03.2015,17:30",7457467,4962771,Sa mat.stetom,,,,,20.45684234250,44.80821849230
1055356,"21.02.2015,16:00",7453572,4964374,Sa povredjenim,,,,,20.40745721520,44.82240026500
1055362,"28.02.2015,00:45",7459391,4962688,Sa povredjenim,,,,,20.48117118240,44.80758410720
1055547,"02.03.2015,16:30",7454787,4963573,Sa povredjenim,,,,,20.42289180770,44.81527035020
1071878,"29.04.2015,12:00",7453764,4967006,Sa povredjenim,,,,,20.40964420830,44.84609819970
1071904,"01.05.2015,03:45",7456598,4956386,Sa mat.stetom,,,,,20.44640378150,44.75070630890
1071950,"20.04.2015,17:20",7452988,4962985,Sa mat.stetom,,,,,20.40020192700,44.80986222120
1071969,"30.04.2015,11:30",7465259,4958463,Sa mat.stetom,,,,,20.55564132400,44.76987333550
1071974,"30.04.2015,13:00",7465490,4957988,Sa mat.stetom,,,,,20.55859197470,44.76560990460
1071975,"30.04.2015,14:00",7458294,4960769,Sa mat.stetom,,,,,20.46746177660,44.79025117940
1071976,"30.04.2015,16:00",7457381,4959002,Sa mat.stetom,,,,,20.45607236700,44.77429551250
1071980,"30.04.2015,07:05",7456807,4961459,Sa mat.stetom,,,,,20.44861096650,44.79637183340
1071982,"01.05.2015,14:30",7462442,4950418,Sa mat.stetom,,,,,20.52064888690,44.69733042790
1072069,"20.04.2015,18:40",7457066,4957070,Sa mat.stetom,,,,,20.45225621950,44.75689013540
